text,intent
What specific legal provisions did the Directorate of Enforcement cite to support their appeal?,0
Is it allowed to diminish the emoluments and allowances of the Governor while he is in office?,1
Which point of the Constitution of India pertains to the Census?,1
On what basis did the High Court find the order of the Karnataka Electricity Regulatory Commission (KERC) flawed?,1
What would happen if Buddha Tri-Ratna Mission failed to deposit the required amount by the stipulated date?,1
What action did Shamshul Ishrar Khan allegedly take in breach of the interim order?,1
Procedure to apply for warrant.,0
What were the provisional attachment orders issued on 28 October 2020 about?,1
"What was the argument presented by the appellant, R. Hemalatha, regarding the unregistered Agreement to Sell?",1
Can the Speaker vote on the resolution for his removal?,1
kaise ho?,3
Who prescribes the form in which the accounts of the District Council or the Regional Council are to be kept?,1
What was the Trial Court's decision on the application under Section 319 Cr.P.C. filed by the Assistant Public Prosecutor?,1
What occurs if a law made by the Legislature of a State repugnant to the provisions of an earlier law by Parliament or an existing law has been reserved for the consideration of the President and has received his assent?,1
Who can be registered as a citizen of India?,1
What force does an Ordinance promulgated under this article have?,1
What were the final directions given by the Supreme Court in this case?,1
What was the role of the complainant in this case?,0
Did the Supreme Court address the merits of the detention order in their judgment?,1
Help me with tenant laws.,1
What incident led to the charges against B. S. Hari?,1
What does the President do with a report related to Scheduled Castes once he receives it?,1
What was the main legal issue in the case of Ravi Mandal vs The State of Uttarakhand?,0
What was the prosecution's stance on the applicability of the proviso to Section 372 of the Cr.P.C.?,0
Who is given preference or reservation in the matter of admission to any University or other educational institution?,1
What is the procedure in the Legislature with respect to estimates?,1
What was the trial court's verdict regarding the accused in this case?,0
What is the requirement for the constitution of Wards Committees?,1
What territories does Rajasthan consist of?,1
What did the appellant-plaintiff claim regarding the use of the mark 'MALABAR'?,1
Why did the Supreme Court uphold the High Court's decision to quash the charges against Dr. Anup Kumar Srivastava?,1
What is the annual payment to the Devaswom Fund from the Consolidated Fund of the State of Tamil Nadu?,1
What precedents did the State of Haryana rely on to support its case?,1
What is the number associated with Tripura?,1
What was the final outcome of the appeal by M/s Reckitt Benckiser (India) Ltd. in the Supreme Court?,0
What was the Supreme Court's decision regarding the High Court's interim directions?,1
What does the term 'Scheduled Tribes' refer to as per article 342 of the constitution?,1
What were the consequences of M/s Atwal Rice & General Mills failing to deliver the full quantity of rice as per the agreement?,1
What was the decision of the Executing Court regarding the objections raised by M/s Atwal Rice & General Mills?,1
What happens after a Money Bill has been passed by the Legislative Assembly?,1
What did the Supreme Court decide regarding the breach of principles of natural justice in the disciplinary proceedings?,1
What is the total number?,1
How did the Supreme Court interpret the precedent set in National Insurance Co. Ltd. v. Swaran Singh in relation to this case?,1
What does a person need to be a citizen of and what judicial position must they have held for at least ten years to qualify for appointment as a Judge of a High Court?,1
What was the primary issue challenged by M/S Godrej Sara Lee Ltd. in this case?,0
What was the decision of the Gujarat Value Added Tax Tribunal on the issue of tax credit reduction?,0
"In the absence of some recommendation or previous sanction required by the Constitution, under what circumstances can an Act of Parliament or of the Legislature of a State be regarded as valid?",1
What might be the future implications for similar property disputes after this judgment?,1
What did the Supreme Court consider while upholding the conviction?,0
What was the decision of the Patna High Court regarding the second proviso to Section 3(2) of the Entry Tax Act?,1
What was the Arbitrator's decision regarding pendente lite interest?,2
What action did EIL take in response to the invoice from Ambika Gases?,1
How can the President resign his office?,2
How did the Supreme Court address the issue of delay in recording the FIR in Major Singh's case?,0
Can the President direct the Governor to return the law to the Bodoand Territorial Council?,2
What were the grounds for the appellant's challenge against the Revisional Authority's orders?,2
What does 'paragraph' refer to in this text?,1
What was the Supreme Court's stance on the explanation of the disproportionate assets provided by the accused?,1
"Who has the authority to amend, add, vary, or repeal any of the provisions of the Schedule and how often can they do it?",1
What is the 'annual financial statement' as referred to in this text?,1
What was the Supreme Court's observation regarding the allegations against the relatives of the husband residing in different states?,1
What procedural steps did the Supreme Court direct in case the respondent-father files an application under the Guardians and Wards Act?,1
Which state is allocated only one seat in the Council of States according to the FOURTH SCHEDULE of the Constitution of India?,1
"What agreement was made between Revanasiddayya and the original owner of the suit land, Veerabasayya?",1
What determines the number of seats reserved for an autonomous district in the Legislative Assembly of Assam?,1
What was the Supreme Court's view on the criminal proceedings initiated against the appellants?,0
What evidence was presented by the prosecution regarding the search and seizure?,0
Latest supreme court judgment on child custody.,1
What happens if someone does bail?,0
"When were the powers, privileges, and immunities of each House of Parliament and its members last defined, and what will they be until they are next defined?",1
How did the Supreme Court view the role of Thimmappa and Gopala in the incident?,1
What were the charges against Dashrath Singh Chauhan in this case?,0
What is the 28th point in the Code of Civil Procedure at the commencement of this Constitution about?,1
Who has the authority to impose a tax on the consumption or sale of electricity in India?,1
Who should be consulted on all disciplinary matters affecting a person serving under the Government of India or the Government of a State in a civil capacity?,1
How did the appellate court rule on the appeal filed by Dhani Ram?,1
What was the primary legal issue in the case of V. Senthil Balaji v. The State Represented by Deputy Director and Ors.?,1
What argument did Mani present regarding his involvement in the incident?,1
What was the High Court's decision regarding the rejection of Montecarlo's bid?,1
What was the significant finding regarding the sanction in the State of Maharashtra vs. Ramesh Shetty case?,1
What did the Supreme Court say about the High Court's handling of the sanction for prosecution?,1
What was the argument regarding the acquittal of the juvenile 'A' and its impact on this case?,0
What does the constitution of India mention about port quarantine?,1
"What happens when the High Court disposes of a case itself or determines the said question of law, after withdrawing a case?",1
What did the High Level Committee appointed by the State Government conclude?,1
What precedent did the Supreme Court refer to in support of its decision in the case of Javed Ahmad Hajam vs. State of Maharashtra & Anr.?,1
What was the High Court's decision regarding the transfer petition filed by the appellant?,1
How did the Supreme Court address the issue of the respondent no. 2 accused's criminal history?,0
What sections of the IPC were Vishnu Kumar Shukla and Vineeta Shukla charged under?,0
What do sub-clauses (d) and (e) allow the state to impose on the exercise of any of the rights conferred by the said sub-clauses?,1
What principles of law did the Supreme Court emphasize regarding circumstantial evidence?,1
What is the effect of articles 203 and 204 in relation to grants?,1
What were the charges against Gayatri Prasad Prajapati in this case?,0
What is the process and eligibility for a person to be registered as a citizen of India?,1
What previous cases involving Ramawatar Bhagat were relevant to the Supreme Court's decision?,0
What is the focus of the 20th point in the Code of Civil Procedure at the commencement of this Constitution?,1
How to file a case for tax?,2
"Who swears, 'I, A. B., do swear in the name of God that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will faithfully and conscientiously discharge my duties as a Minister for the Union and that I will do right to all manner of people in accordance with the Constitution and the law, without fear or favour, affection or ill-will'?",1
What was the Supreme Court's finding regarding the complainant's awareness of obstacles to the marriage?,1
Who should a Speaker or Deputy Speaker address their resignation letter to?,2
How did the High Court of Delhi rule on the matter of delay condonation?,1
What legal principles did the Supreme Court refer to in its judgment regarding bail?,0
Who constitutes a District Council for each autonomous district in the State under the Constitution?,1
"What provisions can the Parliament of India make with respect to elections, including the preparation of electoral rolls, the delimitation of constituencies, and all other matters necessary for securing the due constitution of such House or Houses?",1
What was the original definition of OROP as discussed by the petitioners?,2
What did the Supreme Court observe regarding the informant's attempt to withdraw the special leave petitions in the case of Amar Nath Jha vs. Nand Kishore Singh & Etc.?,0
What is the requirement for every order made under clause (1)?,1
What is the purpose of the Contingency Fund of India?,1
"What does the maintenance of registers or records of political parties, the report furnished by the leader of a legislature party, reports regarding admission to such political party of any members of the House, and the procedure for deciding any question referred to in subparagraph (1) of paragraph 6 refer to?",1
When can a nominated member of a House be disqualified for being a member of the House?,1
What was the main issue in the Naveen Kaushik vs. Central Bureau of Investigation case?,0
How did the Supreme Court view the last seen theory in this case?,0
What steps must Mohini Dang take following the Supreme Court's decision?,1
Who is enabled to make advances for meeting unforeseen expenditure pending authorisation by Parliament through the Contingency Fund of India?,1
What is the timeline for the convening of the annual general body meeting of every co-operative society?,1
What was the significance of the medical examination conducted on Rakesh Kumar (PW-1)?,0
What is the procedure for the President to follow regarding the recommendations made by the Finance Commission under the provisions of the Constitution?,1
What type of taxes are Capitation?,1
What role did Ramji play in the incident leading to the death of Som Raj?,0
Which region is associated with the number 1?,1
What was the main issue in the Pratap Singh @ Pikki vs. State of Uttarakhand case?,0
What was the main issue in the case of M/S. Sicagen India Ltd. vs. Mahindra Vadinei & Ors.?,0
What was the prosecution's case against Sathish Kumar?,0
What were the circumstances of Raveen Kumar's arrest in 'Raveen Kumar vs. State of Himachal Pradesh'?,0
What was the decision of the Trial Court and the High Court regarding the specific performance suit?,1
"What was the context of the complaints filed by Khushboo, the wife of the deceased?",0
What evidence did the prosecution present to support the charges against the accused?,0
What was the decision of the trial court regarding the partition of the suit properties in the case Selvi vs. Gopalakrishnan Nair (D) Thr. LRs. and Ors.?,1
"What types of vehicles are the taxes applicable to, as mentioned in entry 35 of List II?",1
What was the primary issue in the case of Lance Nayak Raj Bahadur & Ors. vs. State of UP & Ors.?,1
Why did the Supreme Court invoke its plenary jurisdiction under Article 142 of the Constitution of India in this case?,1
Who can transfer a Judge from one High Court to another?,1
What was Ahsan's main argument in the Supreme Court regarding the quantum of sentence?,0
What is the Tamil Nadu Act 25 of 1978?,1
What is the Tamil Nadu Act 17 of 1970?,1
What was the Trial Court's judgment in Ahsan's case?,0
What was the main issue in the case of C.S. Ramaswamy vs V.K. Senthil & Ors.?,1
What did the Supreme Court rule in the case?,1
What was the main issue in the case of Bharti AXA General Insurance Co. Ltd. Vs. Priya Paul & Anr.?,0
How did the Supreme Court respond to the appellants' argument about the applicability of Rule 32(c) and (f)?,0
What was the Supreme Court's view on the pending suit challenging the validity of the compromise deed?,1
What were the grounds for the compulsory retirement of Captain Pramod Kumar Bajaj?,2
Help me with incorporation laws.,2
What was the decision of the High Court of Judicature at Allahabad regarding the land acquisition in the case?,1
When can a case be transferred to the High Court?,1
What justification did the Union of India provide for the extensions granted to the Director of Enforcement?,1
What was the main legal issue in the case of Sham Lal vs The State of Haryana?,0
What was the Supreme Court's decision regarding the appeals by Rajesh Jain?,0
What did the Supreme Court direct respondent No. 2 to do following the quashing of his bail in the case of Bohatti Devi vs. The State of Uttar Pradesh & Anr.?,0
What was the main issue in the case of Shantaben Bhurabhai Bhuriya vs. Anand Athabhai Chaudhari & Ors.?,0
What procedural safeguards did the Supreme Court incorporate into the Revised Circular dated 01.07.2015?,0
"Which item of the Indian Constitution lists duties of excise on goods manufactured or produced in India, namely petroleum crude, high speed diesel, motor spirit (also known as petrol), natural gas, aviation turbine fuel, and tobacco and tobacco products?",1
What should government departments consider regarding reservation rosters based on this judgment?,1
What was the primary legal issue in the case of Subhash Sahebrao Deshmukh vs. Satish Atmaram Talekar and Others?,1
"What is Section 27 of the Protection of Women from Domestic Violence Act, 2005, and how did it apply in this case?",1
What were the Supreme Court's directions regarding Dheeraj Bhadviya's bail?,1
What arrangements were made for visitation rights for Kiran V. Bhaskar if Vasudha Sethi and the child moved to the USA?,1
What were the appeals in the case 'State of Himachal Pradesh vs. Ravinder Kumar Sankhayan (Dead) and Ors.' about?,1
What was the outcome of the initial trial court decision regarding the application under Section 319 Cr.P.C. in the case of Vikas Rathi vs. The State of U.P. & Anr.?,0
What was the Supreme Court's view on the evidence of PW-1 in this case?,0
What did the Supreme Court decide regarding the appellant's obligation under the EPF Act in the case of M/S. Panther Security Service Private Limited?,1
"Which Act is known as the West Bengal Land Reforms (Second Amendment) Act, 1972?",1
Does anything in article 13 apply to any amendment made under the same article?,1
What was the court's view on the reasonable opportunity of hearing provided to the petitioners?,1
What did the Supreme Court decide regarding the judgement of the High Court?,1
What was the High Court's decision regarding the appeals filed by Kirloskar Brothers Limited?,0
What should the Governor of Nagaland ensure when making his recommendation with respect to any demand for a grant?,1
What legislative intent did the Supreme Court highlight regarding the MV Act in the case 'The State of Arunachal Pradesh vs. Ramchandra Rabidas @ Ratan Rabidas & Anr.'?,0
"Can a Bill for altering the area, boundaries or name of any States be introduced without the recommendation of the President?",1
What was the Supreme Court's view on the High Court's handling of the revision petition?,1
"Who has the right to speak in, and otherwise to take part in the proceedings of, a House of the Legislature of a State or any committee thereof according to the Constitution?",1
What did the Supreme Court conclude regarding Mathithra's free will to reside with Ilavarasan?,1
What were the charges against Resham Chand Kaler in this case?,0
On what basis did the trial court acquit N. Vijayakumar initially?,1
"Does sub-clause (a) of clause (1) not affect the power conferred by law on any officer of the Armed Forces of the Union to suspend, remit or commute a sentence passed by a Court Martial?",1
What were the posts advertised by the Gujarat Public Service Commission in the case Niravkumar Dilipbhai Makwana vs. Gujarat Public Service Commission & Ors.?,1
How did the Supreme Court interpret the phrase 'in relation to a government servant' in Rule 54(14)(b) of the CCS (Pension) Rules?,0
"What does the law state about the compensation for personal cultivation land acquired by the state, according to the constitution of India?",1
"What does the President do with the annual report from the Union Commission, particularly when the advice of the Commission was not accepted?",1
What conditions did the Supreme Court impose on the appellants regarding the delay in filing the application under Section 28-A?,1
"Which act is also known as The Madhya Pradesh Ceiling on Agricultural Holdings (Second Amendment) Act, 1976?",1
"How did the appellate authority, the Commissioner, rule on the appeal filed by the defendants?",1
Why did the cheque issued by the appellants get dishonored?,0
What was the impact of the Supreme Court's decision on future corruption cases?,0
What entity is able to assent or refuse to assent to any demand?,1
What was the Supreme Court's directive to the Registry?,1
What was the outcome of the initial civil suit filed by Raziya Khanam against the appellants?,1
"Who assumes the rights, liabilities and obligations of the Government of an Indian State corresponding to a State specified in Part B of the First Schedule, if the purposes for which such rights were acquired or liabilities or obligations were incurred before such commencement will thereafter be purposes of the Government of India relating to any of the matters enumerated in the Union List?",1
What allowances are paid to the President and to the Governors of the States according to the constitution?,1
What was the High Court's decision regarding the complaint filed by M/S. Sicagen India Ltd.?,0
"What was the decision of the Supreme Court regarding the applicability of the Food Safety and Standards Act, 2006, to the Travancore Devaswom Board?",1
What procedural safeguards did the Supreme Court emphasize for appellate courts reviewing trial court acquittals?,1
What were the observations made by the Supreme Court regarding the High Court's handling of the case?,1
What was the court's decision regarding the interpretation of the DST Act?,1
What was the primary issue in the case of Sheikh Noorul Hassan vs. Nahakpam Indrajit Singh & Ors.?,1
What was the main legal issue in the case of Union of India & Ors. vs. Parashotam Dass?,1
What are the opposing views of Party 'A' and Party 'B' regarding the initiation of acquisition proceedings?,1
What does Article 244 state about the administration of Scheduled Areas and tribal areas?,1
Who issued the show cause notice to M/S Ganpati Overseas and on what basis?,0
What legal provision governs the re-engagement of retrenched workmen in this case?,2
How did the Supreme Court address the issue of procedural fairness in this case?,1
Who are granted the rights to establish and administer educational institutions of their choice according to section 30?,1
Did the Supreme Court find merit in the allegations made by Ramesh Sanka?,1
What principle did the Supreme Court reiterate regarding the judicial review of administrative decisions in contract matters?,2
Why did the High Court uphold the decision of the District Registrar?,1
Why did the Supreme Court interfere with the High Court's decision?,1
What were the conclusions of the Trial Court regarding Amarjeet Singh's mental capacity in 'Lakhan Singh vs. Amarjeet Singh & Anr.'?,0
What was the significance of the rivalry between the deceased and the main conspirators in the case?,0
What was the Supreme Court's decision regarding the conviction of Harjeet Singh in the case of State of Madhya Pradesh vs Harjeet Singh & Anr.?,0
What should legal practitioners consider when defending clients charged under the NDPS Act with similar allegations?,0
What was the final decision of the Supreme Court regarding the appeal filed by Ambalal Parihar?,1
What did the Supreme Court emphasize about the stage of framing charges?,0
What is mentioned under the regulation of arms in the Union List?,1
What was the High Court's decision on the appellants' application under Section 482 Cr.P.C.?,0
What does 'Proclamation of Emergency' refer to?,1
What was the final sentence imposed on Santosh Kumar by the Supreme Court in the case of Santosh @ Santosh Kumar vs State of Kerala?,1
What was the High Court's ruling on the Trust's writ petition?,1
What does the President do with the reports from the Special Officer for linguistic minorities?,2
How did the Supreme Court address the issue of subjective satisfaction of the detaining authority?,1
What precedent did the CBI rely on to support their argument?,0
What was the High Court's decision regarding the acquittal by the Trial Court?,0
Until what age does a Judge of the Supreme Court hold office?,1
What were the sentences initially awarded to Ravi Mandal and Shabbir by the Trial Court in the case of Ravi Mandal vs The State of Uttarakhand?,0
What was the main issue in the case between Kerala State Beverages Manufacturing & Marketing Corporation Ltd. and The Assistant Commissioner of Income Tax Circle 1(1)?,1
Is there any remedy for landlord?,1
What were the charges against Sandeep Kumar in the case State of Jharkhand vs. Sandeep Kumar?,0
What was the High Court of Karnataka's decision on LIC's intra-court appeal?,1
How did the Supreme Court interpret the term 'primarily leviable' in Clause 6 of the lease deed?,1
What was the Supreme Court's final decision regarding the appeal filed by Jarnail Singh & Anr.?,1
What was the significant discrepancy in the witness testimonies in the Suryavir vs. State of Haryana case?,1
What did the Supreme Court say about the accused's conduct in the context of the bail application?,0
"What did Rule 21(b) of the Jharkhand Judicial Service (Recruitment) Rules, 2004 stipulate regarding the confirmation of trainees?",0
What clarification did the Supreme Court provide regarding the handling of substantial questions of law in tax appeals?,1
"What does the National Commission for Scheduled Tribes do in relation to investigating and monitoring matters, inquiring into complaints, participating and advising on planning processes, presenting reports, making recommendations, and discharging functions as determined by the President?",1
What was the Supreme Court's directive regarding the sentences for the appellants?,1
What was the Commission's action following the Supreme Court's order regarding the revised recommendations?,1
What is the Civil Appeal number for the case Vinodchandra Sakarlal Kapadia vs. State of Gujarat and Ors.?,1
What procedural lapses were identified by the Supreme Court in this case?,0
